id,aptId,landlordId,overallRating,detailedRatings.location,detailedRatings.safety,detailedRatings.value,detailedRatings.maintenance,detailedRatings.communication,detailedRatings.condition,reviewText,date
,,10,4,4,4,4,4,4,4,"The apartment is good and I enjoy living here because of its closeness to the campus, good maintenance and closeness to restaurants/stores. The landlord are friendly and send out timely emails about important notices, package arrivals and any such details. While everything is comfortable, sometimes it feels a bit small compared to the price I pay. Overall, I enjoy living here and it's a great place for roommates.",4/10/2021 13:22:37
,,10,3,4,4,2,3,4,2,"This apartment is generally very old. There are some wear-downs in the apartment, but the maintenance service is relatively quick and communicates well. There is not much ventilation in the apartment so it gets quite hot in the summer. The rent is ok, not too high not too low. There is a deli right downstairs (very convenient for snacks :) )",4/10/2021 13:26:11
,,10,5,5,3,4,5,3,4,"I feel like I live pretty close to everyone I know. It's not that far from campus either. I really like having my own kitchen and bathroom. It's so close to the engineering quad and Starbucks, so it's been really convenient",3/31/2021 17:41:47
,,17,4,3,5,4,5,5,4,"The quality price ratio is very good. It's a quiet neighborhood and the layout is not bad. I can get to the main campus within 20 min walk and there's also a bus stop around. The room is not big but it's good enough for me. The landlord provides all necessary furnitures including a microwave, a fridge, and a tv. We don't need to pay anything extra except for the electricity bill. They are also super responsive to our maintenance requests. The layout is a bit weird. The bedrooms are right next to the living room so sometimes it can be a bit distracting when your roommates are hanging out while you need to do work, but this can happen in other places as well and I can just solve it with earbuds. Overall, not the best apartment out there but there's nothing bad about it. Plus the price is super good.",4/10/2021 13:34:46
,,18,5,5,5,5,4,5,5,"I've had a great time overall and would recommend living here, it's just expensive but most of the time it's quiet, but the noise from neighbors still gets through. It's way more loud in the center of collegetown anyway. I would say it's one of the cleanest and well maintained buildings I saw during my tours and I enjoy living there right now.",4/10/2021 13:26:06
,,18,4,5,3,4,4,4,4,"I really like the apartment I live in, the building has about 50 people in it and I know basically everyone. It's also all girls (mainly from my sorority) which is honestly really comforting and it's so fun to know everyone. The staff are pretty helpful when we call for maintenance repairs, but usually it takes a few phone calls and reminders to get them to actually come. It's also pretty expensive. But overall great experience",3/30/2021 13:41:36
,,18,3,4,5,4,3,3,4,"Great experience in a quiet location. The value of the apartment is really good for the price, specifically for the size. Cons are an older building, and a landlord who isn't very responsive.",4/10/2021 13:26:20
,,19,5,4,5,5,4,3,5,"It's a pretty spacious and comfortable apartment, and there are all the necessary amenities provided here. The apartment staff is responsive when we file complaints/need some fixing. Rooms are not too big but the size has never been an issue.",4/9/2021 18:00:16
,,20,5,4,5,5,5,5,5,"I've loved living here and I've had an amazing experience with the landlords as well. Despite being far, it is a great price and the bus stop makes up for it. I'm planning to stay for the next 2 years :))",4/10/2021 13:22:06
,,20,5,4,5,4,5,5,4,"Easy access to laundry and trash. Utilities included, which is a plus. Maintenance is really easy to get done and payments can be made online. Overall great landlord / apartment. Also pet friendly!",4/10/2021 13:24:34
,,4,4,3,4,4,5,4,5,"CTT is the perfect place to live in terms of facilities and price, if not considering accessibility. However, there is a shuttle which runs every 20 min in the morning (used to be 10 min pre-covid) and once every hour in the afternoon until 4:15pm. There's also a dryer and a washing machine in your room.",3/30/2021 0:41:01
,,4,4,3,5,2,4,4,4,"The landlord sometimes seems to be predatory, even when it comes to your lease. They openly say that they will rent your apartment out from under you without notification. I assume as a play to attempt to get tenants to renew their leases. I wouldn't bite at any of these tactics.

Beyond this, I haven't had any problems with safety or cleanliness. They have covered parking under the building, which is my main reason for choosing the apartment.",4/10/2021 13:26:36
,,21,5,4,3,4,4,5,4,"I really enjoyed the fact that it came with plants, couch, and the whole furniture setup. I think the hill might be the worst part in terms of getting to the house but the house itself is nice. Really big closets, washer, dryer, dishwasher etc. ",3/31/2021 11:00:35
,,22,4,4,4,4,4,4,4,"I like staying at this apartment and have made myself at home here. I don't regret choosing this apartment and would choose to stay here again if I were a freshman again. The landlord and management are quite nice and did not do anything unethical. The location of this apartment is quite nice and we're close to a bus route. The only downside to this apartment is that it's dated. However, this apartment is comfortable and I like it here.",3/31/2021 23:16:51
,,23,4,4,3,3,5,4,4,"This apartment is pretty satisfactory. The utilities seem to be pretty high (in the winter it is above $100). The walls and floors are super thin, however, and I can hear basically everything happening in the apartment above and next to ours... Other than that, it's a nice place to call home.",3/31/2021 17:27:06
,,24,4,5,4,4,3,4,3,"Overall, it's a very good location. The apartment is average quality, nothing special but also nothing really bad either. I'm moving to another apartment next semester because this 3 bedroom apartment is too small for 5 people, and all of us wanted our own rooms. It's pretty good for the rent we pay, but obviously it comes at a cost.",3/30/2021 15:22:25
,,24,3,3,2,4,3,3,3,"The location isn't ideal and well there are definitely many more places that are in better condition/have better facilities, but the apartment is big and I get to live with many other friends and we have a fairly big living room that we play games in on a daily basis so I dont regret my choice.",4/10/2021 13:23:46
,,24,4,5,5,3,4,2,4,"Nice living experience with my best friends. We had a lot of great memories there.
But the move-out experience was terrible: because of COVID, my roommates and I all move out in March (2 months before the lease ended). We tried to negotiate a deduction of rent but the leasing company did nothing to help. Also, more than half of our deposit was deducted because of very expensive cleaning fees :(((",4/6/2021 0:53:42
,,24,4,5,5,4,4,4,4,"The location is wonderful, the heater is excellent, and all the essential services are provided (laundry, trash, bug extermination, etc.) The only thing is our wifi was a bit spotty sometimes because of the location of our apartment, but it was a minor inconvenience.",4/10/2021 13:21:39
,,8,5,5,5,4,5,5,5,"The experience is very good. The apartment looks very nice, with big rooms and big beds. The biggest issue is price, which sucks in more than 2/3 of my internship income :(((",4/5/2021 23:00:49
,,8,3,4,3,3,2,2,2,"The people who run Urban Ithaca aren't the best. But, Brad the maintenance man is a goat. The housing is definitely overpriced. And the inside is old and outdated. But, the space and location is nice. ",4/10/2021 13:22:14
,,8,4,5,4,5,3,1,4,"Location is extremely hard to beat! 2 minute walk away from CTB and 3 minutes away from campus. Although the real estate company can do a better job of communicating with us about lease agreements and fines, I would say the house itself is really great for what it is.",4/10/2021 13:22:13
,,25,3,3,4,3,3,4,2,"I would sum up my experience as: serviceable. Do I want to live her long-term? Definitely not, but for a couple semesters, it'll do. The landlord is not the worst I've had, though she could be better and the rent price is fair.",4/6/2021 8:16:36
,,25,3,4,4,3,3,5,2,"Overall I have had somewhat positive experiences here. The location is not ideal but the bus stop makes it very workable. The rooms are generally pretty large and the provided furniture is generally pretty usable (although the bed quality is not great). The biggest issues really come from the fact that many things are quite old. While maintenance is quick, it is still a hassle, and things like the splinter-prone floor and general fragile nature of many objects is unavoidable. ",4/10/2021 13:26:57
